,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
0,13300000,7420,4,2,3,1,0,0,0,1,2,1,0
1,12250000,8960,4,4,4,1,0,0,0,1,3,0,0
2,12250000,9960,3,2,2,1,0,1,0,0,2,1,1
3,12215000,7500,4,2,2,1,0,1,0,1,3,1,0
4,11410000,7420,4,1,2,1,1,1,0,1,2,0,0
5,10850000,7500,3,3,1,1,0,1,0,1,2,1,1
6,10150000,8580,4,3,4,1,0,0,0,1,2,1,1
7,10150000,16200,5,3,2,1,0,0,0,0,0,0,2
8,9870000,8100,4,1,2,1,1,1,0,1,2,1,0
9,9800000,5750,3,2,4,1,1,0,0,1,1,1,2
10,9800000,13200,3,1,2,1,0,1,0,1,2,1,0
11,9681000,6000,4,3,2,1,1,1,1,0,2,0,1
12,9310000,6550,4,2,2,1,0,0,0,1,1,1,1
13,9240000,3500,4,2,2,1,0,0,1,0,2,0,0
14,9240000,7800,3,2,2,1,0,0,0,0,0,1,1
15,9100000,6000,4,1,2,1,0,1,0,0,2,0,1
16,9100000,6600,4,2,2,1,1,1,0,1,1,1,2
17,8960000,8500,3,2,4,1,0,0,0,1,2,0,0
18,8890000,4600,3,2,2,1,1,0,0,1,2,0,0
19,8855000,6420,3,2,2,1,0,0,0,1,1,1,1
20,8750000,4320,3,1,2,1,0,1,1,0,2,0,1
21,8680000,7155,3,2,1,1,1,1,0,1,2,0,2
22,8645000,8050,3,1,1,1,1,1,0,1,1,0,0
23,8645000,4560,3,2,2,1,1,1,0,1,1,0,0
24,8575000,8800,3,2,2,1,0,0,0,1,2,0,0
25,8540000,6540,4,2,2,1,1,1,0,1,2,1,0
26,8463000,6000,3,2,4,1,1,1,0,1,0,1,1
27,8400000,8875,3,1,1,1,0,0,0,0,1,0,1
28,8400000,7950,5,2,2,1,0,1,1,0,2,0,2
29,8400000,5500,4,2,2,1,0,1,0,1,1,1,1
30,8400000,7475,3,2,4,1,0,0,0,1,2,0,2
31,8400000,7000,3,1,4,1,0,0,0,1,2,0,1
32,8295000,4880,4,2,2,1,0,0,0,1,1,1,0
33,8190000,5960,3,3,2,1,1,1,0,0,1,0,2
34,8120000,6840,5,1,2,1,1,1,0,1,1,0,0
35,8080940,7000,3,2,4,1,0,0,0,1,2,0,0
36,8043000,7482,3,2,3,1,0,0,1,0,1,1,0
37,7980000,9000,4,2,4,1,0,0,0,1,2,0,0
38,7962500,6000,3,1,4,1,1,0,0,1,2,0,2
39,7910000,6000,4,2,4,1,0,0,0,1,1,0,1
40,7875000,6550,3,1,2,1,0,1,0,1,0,1,0
41,7840000,6360,3,2,4,1,0,0,0,1,0,1,0
42,7700000,6480,3,2,4,1,0,0,0,1,2,0,2
43,7700000,6000,4,2,4,1,0,0,0,0,2,0,1
44,7560000,6000,4,2,4,1,0,0,0,1,1,0,0
45,7560000,6000,3,2,3,1,0,0,0,1,0,0,1
46,7525000,6000,3,2,4,1,0,0,0,1,1,0,0
47,7490000,6600,3,1,4,1,0,0,0,1,3,1,0
48,7455000,4300,3,2,2,1,0,1,0,0,1,0,2
49,7420000,7440,3,2,1,1,1,1,0,1,0,1,1
50,7420000,7440,3,2,4,1,0,0,0,0,1,1,2
51,7420000,6325,3,1,4,1,0,0,0,1,1,0,2
52,7350000,6000,4,2,4,1,1,0,0,1,1,0,0
53,7350000,5150,3,2,4,1,0,0,0,1,2,0,1
54,7350000,6000,3,2,2,1,1,0,0,1,1,0,1
55,7350000,6000,3,1,2,1,0,0,0,1,1,0,2
56,7343000,11440,4,1,2,1,0,1,0,0,1,1,1
57,7245000,9000,4,2,4,1,1,0,0,1,1,1,0
58,7210000,7680,4,2,4,1,1,0,0,1,1,0,1
59,7210000,6000,3,2,4,1,1,0,0,1,1,0,0
60,7140000,6000,3,2,2,1,1,0,0,0,1,0,1
61,7070000,8880,2,1,1,1,0,0,0,1,1,0,1
62,7070000,6240,4,2,2,1,0,0,0,1,1,0,0
63,7035000,6360,4,2,3,1,0,0,0,1,2,1,0
64,7000000,11175,3,1,1,1,0,1,0,1,1,1,0
65,6930000,8880,3,2,2,1,0,1,0,1,1,0,0
66,6930000,13200,2,1,1,1,0,1,1,0,1,0,0
67,6895000,7700,3,2,1,1,0,0,0,0,2,0,2
68,6860000,6000,3,1,1,1,0,0,0,1,1,0,0
69,6790000,12090,4,2,2,1,0,0,0,0,2,1,0
70,6790000,4000,3,2,2,1,0,1,0,1,0,1,1
71,6755000,6000,4,2,4,1,0,0,0,1,0,0,2
72,6720000,5020,3,1,4,1,0,0,0,1,0,1,2
73,6685000,6600,2,2,4,1,0,1,0,0,0,1,0
74,6650000,4040,3,1,2,1,0,1,1,0,1,0,0
75,6650000,4260,4,2,2,1,0,0,1,0,0,0,1
76,6650000,6420,3,2,3,1,0,0,0,1,0,1,0
77,6650000,6500,3,2,3,1,0,0,0,1,0,1,0
78,6650000,5700,3,1,1,1,1,1,0,1,2,1,0
79,6650000,6000,3,2,3,1,1,0,0,1,0,0,0
80,6629000,6000,3,1,2,1,0,0,1,0,1,1,1
81,6615000,4000,3,2,2,1,0,1,0,1,1,0,1
82,6615000,10500,3,2,1,1,0,1,0,1,1,1,0
83,6580000,6000,3,2,4,1,0,0,0,1,0,0,1
84,6510000,3760,3,1,2,1,0,0,1,0,2,0,1
85,6510000,8250,3,2,3,1,0,0,0,1,0,0,0
86,6510000,6670,3,1,3,1,0,1,0,0,0,1,2
87,6475000,3960,3,1,1,1,0,1,0,0,2,0,1
88,6475000,7410,3,1,1,1,1,1,0,1,2,1,2
89,6440000,8580,5,3,2,1,0,0,0,0,2,0,0
90,6440000,5000,3,1,2,1,0,0,0,1,0,0,1
91,6419000,6750,2,1,1,1,1,1,0,0,2,1,0
92,6405000,4800,3,2,4,1,1,0,0,1,0,0,0
93,6300000,7200,3,2,1,1,0,1,0,1,3,0,1
94,6300000,6000,4,2,4,1,0,0,0,0,1,0,1
95,6300000,4100,3,2,3,1,0,0,0,1,2,0,1
96,6300000,9000,3,1,1,1,0,1,0,0,1,1,0
97,6300000,6400,3,1,1,1,1,1,0,1,1,1,1
98,6293000,6600,3,2,3,1,0,0,0,1,0,1,2
99,6265000,6000,4,1,3,1,1,1,0,0,0,1,2
100,6230000,6600,3,2,1,1,0,1,0,1,0,1,2
101,6230000,5500,3,1,3,1,0,0,0,0,1,1,2
102,6195000,5500,3,2,4,1,1,0,0,1,1,0,1
103,6195000,6350,3,2,3,1,1,0,0,1,0,0,0
104,6195000,5500,3,2,1,1,1,1,0,0,2,1,0
105,6160000,4500,3,1,4,1,0,0,0,1,0,0,2
106,6160000,5450,4,2,1,1,0,1,0,1,0,1,1
107,6125000,6420,3,1,3,1,0,1,0,0,0,1,2
108,6107500,3240,4,1,3,1,0,0,0,0,1,0,1
109,6090000,6615,4,2,2,1,1,0,1,0,1,0,1
110,6090000,6600,3,1,1,1,1,1,0,0,2,1,1
111,6090000,8372,3,1,3,1,0,0,0,1,2,0,2
112,6083000,4300,6,2,2,1,0,0,0,0,0,0,0
113,6083000,9620,3,1,1,1,0,1,0,0,2,1,0
114,6020000,6800,2,1,1,1,1,1,0,0,2,0,0
115,6020000,8000,3,1,1,1,1,1,0,1,2,1,1
116,6020000,6900,3,2,1,1,1,1,0,0,0,1,2
117,5950000,3700,4,1,2,1,1,0,0,1,0,0,0
118,5950000,6420,3,1,1,1,0,1,0,1,0,1,0
119,5950000,7020,3,1,1,1,0,1,0,1,2,1,1
120,5950000,6540,3,1,1,1,1,1,0,0,2,1,0
121,5950000,7231,3,1,2,1,1,1,0,1,0,1,1
122,5950000,6254,4,2,1,1,0,1,0,0,1,1,1
123,5950000,7320,4,2,2,1,0,0,0,0,0,0,0
124,5950000,6525,3,2,4,1,0,0,0,0,1,0,0
125,5943000,15600,3,1,1,1,0,0,0,1,2,0,1
126,5880000,7160,3,1,1,1,0,1,0,0,2,1,2
127,5880000,6500,3,2,3,1,0,0,0,1,0,0,2
128,5873000,5500,3,1,3,1,1,0,0,1,1,0,0
129,5873000,11460,3,1,3,1,0,0,0,0,2,1,1
130,5866000,4800,3,1,1,1,1,1,0,0,0,0,2
131,5810000,5828,4,1,4,1,1,0,0,0,0,0,1
132,5810000,5200,3,1,3,1,0,0,0,1,0,0,1
133,5810000,4800,3,1,3,1,0,0,0,1,0,0,2
134,5803000,7000,3,1,1,1,0,1,0,0,2,1,1
135,5775000,6000,3,2,4,1,0,0,0,1,0,0,2
136,5740000,5400,4,2,2,1,0,0,0,1,2,0,2
137,5740000,4640,4,1,2,1,0,0,0,0,1,0,1
138,5740000,5000,3,1,3,1,0,0,0,1,0,0,1
139,5740000,6360,3,1,1,1,1,1,0,1,2,1,0
140,5740000,5800,3,2,4,1,0,0,0,1,0,0,2
141,5652500,6660,4,2,2,1,1,1,0,0,1,1,1
142,5600000,10500,4,2,2,1,0,0,0,0,1,0,1
143,5600000,4800,5,2,3,0,0,1,1,0,0,0,2
144,5600000,4700,4,1,2,1,1,1,0,1,1,0,0
145,5600000,5000,3,1,4,1,0,0,0,0,0,0,0
146,5600000,10500,2,1,1,1,0,0,0,0,1,0,1
147,5600000,5500,3,2,2,1,0,0,0,0,1,0,1
148,5600000,6360,3,1,3,1,0,0,0,0,0,1,1
149,5600000,6600,4,2,1,1,0,1,0,0,0,1,1
150,5600000,5136,3,1,2,1,1,1,0,1,0,1,2
151,5565000,4400,4,1,2,1,0,0,0,1,2,1,1
152,5565000,5400,5,1,2,1,1,1,0,1,0,1,0
153,5530000,3300,3,3,2,1,0,1,0,0,0,0,1
154,5530000,3650,3,2,2,1,0,0,0,0,2,0,1
155,5530000,6100,3,2,1,1,0,1,0,0,2,1,0
156,5523000,6900,3,1,1,1,1,1,0,0,0,1,1
157,5495000,2817,4,2,2,0,1,1,0,0,1,0,0
158,5495000,7980,3,1,1,1,0,0,0,0,2,0,1
159,5460000,3150,3,2,1,1,1,1,0,1,0,0,0
160,5460000,6210,4,1,4,1,1,0,0,1,0,0,0
161,5460000,6100,3,1,3,1,1,0,0,1,0,1,1
162,5460000,6600,4,2,2,1,1,1,0,0,0,1,1
163,5425000,6825,3,1,1,1,1,1,0,1,0,1,1
164,5390000,6710,3,2,2,1,1,1,0,0,1,1,0
165,5383000,6450,3,2,1,1,1,1,1,0,0,0,2
166,5320000,7800,3,1,1,1,0,1,0,1,2,1,2
167,5285000,4600,2,2,1,1,0,0,0,1,2,0,1
168,5250000,4260,4,1,2,1,0,1,0,1,0,0,0
169,5250000,6540,4,2,2,0,0,0,0,1,0,0,1
170,5250000,5500,3,2,1,1,0,1,0,0,0,0,1
171,5250000,10269,3,1,1,1,0,0,0,0,1,1,1
172,5250000,8400,3,1,2,1,1,1,0,1,2,1,2
173,5250000,5300,4,2,1,1,0,0,0,1,0,1,2
174,5250000,3800,3,1,2,1,1,1,0,0,1,1,2
175,5250000,9800,4,2,2,1,1,0,0,0,2,0,1
176,5250000,8520,3,1,1,1,0,0,0,1,2,0,0
177,5243000,6050,3,1,1,1,0,1,0,0,0,1,1
178,5229000,7085,3,1,1,1,1,1,0,0,2,1,1
179,5215000,3180,3,2,2,1,0,0,0,0,2,0,1
180,5215000,4500,4,2,1,0,0,1,0,1,2,0,1
181,5215000,7200,3,1,2,1,1,1,0,0,1,1,0
182,5145000,3410,3,1,2,0,0,0,0,1,0,0,1
183,5145000,7980,3,1,1,1,0,0,0,0,1,1,1
184,5110000,3000,3,2,2,1,1,1,0,0,0,0,0
185,5110000,3000,3,1,2,1,0,1,0,0,0,0,2
186,5110000,11410,2,1,2,1,0,0,0,0,0,1,0
187,5110000,6100,3,1,1,1,0,1,0,1,0,1,1
188,5075000,5720,2,1,2,1,0,0,0,1,0,1,2
189,5040000,3540,2,1,1,0,1,1,0,0,0,0,1
190,5040000,7600,4,1,2,1,0,0,0,1,2,0,0
191,5040000,10700,3,1,2,1,1,1,0,0,0,0,1
192,5040000,6600,3,1,1,1,1,1,0,0,0,1,0
193,5033000,4800,2,1,1,1,1,1,0,0,0,0,1
194,5005000,8150,3,2,1,1,1,1,0,0,0,0,1
195,4970000,4410,4,3,2,1,0,1,0,0,2,0,1
196,4970000,7686,3,1,1,1,1,1,1,0,0,0,1
197,4956000,2800,3,2,2,0,0,1,0,1,1,0,1
198,4935000,5948,3,1,2,1,0,0,0,1,0,0,1
199,4907000,4200,3,1,2,1,0,0,0,0,1,0,0
200,4900000,4520,3,1,2,1,0,1,0,1,0,0,1
201,4900000,4095,3,1,2,0,1,1,0,1,0,0,1
202,4900000,4120,2,1,1,1,0,1,0,0,1,0,1
203,4900000,5400,4,1,2,1,0,0,0,0,0,0,1
204,4900000,4770,3,1,1,1,1,1,0,0,0,0,1
205,4900000,6300,3,1,1,1,0,0,0,1,2,0,1
206,4900000,5800,2,1,1,1,1,1,0,1,0,0,1
207,4900000,3000,3,1,2,1,0,1,0,1,0,0,1
208,4900000,2970,3,1,3,1,0,0,0,0,0,0,1
209,4900000,6720,3,1,1,1,0,0,0,0,0,0,2
210,4900000,4646,3,1,2,1,1,1,0,0,2,0,1
211,4900000,12900,3,1,1,1,0,0,0,0,2,0,0
212,4893000,3420,4,2,2,1,0,1,0,1,2,0,1
213,4893000,4995,4,2,1,1,0,1,0,0,0,0,1
214,4865000,4350,2,1,1,1,0,1,0,0,0,0,2
215,4830000,4160,3,1,3,1,0,0,0,0,0,0,2
216,4830000,6040,3,1,1,1,0,0,0,0,2,1,1
217,4830000,6862,3,1,2,1,0,0,0,1,2,1,0
218,4830000,4815,2,1,1,1,0,0,0,1,0,1,1
219,4795000,7000,3,1,2,1,0,1,0,0,0,0,2
220,4795000,8100,4,1,4,1,0,1,0,1,2,0,1
221,4767000,3420,4,2,2,1,0,0,0,0,0,0,1
222,4760000,9166,2,1,1,1,0,1,0,1,2,0,1
223,4760000,6321,3,1,2,1,0,1,0,1,1,0,0
224,4760000,10240,2,1,1,1,0,0,0,1,2,1,2
225,4753000,6440,2,1,1,1,0,0,0,1,3,0,1
226,4690000,5170,3,1,4,1,0,0,0,1,0,0,1
227,4690000,6000,2,1,1,1,0,1,0,1,1,0,0
228,4690000,3630,3,1,2,1,0,0,0,0,2,0,1
229,4690000,9667,4,2,2,1,1,1,0,0,1,0,1
230,4690000,5400,2,1,2,1,0,0,0,0,0,1,1
231,4690000,4320,3,1,1,1,0,0,0,0,0,1,1
232,4655000,3745,3,1,2,1,0,1,0,0,0,0,0
233,4620000,4160,3,1,1,1,1,1,0,1,0,0,2
234,4620000,3880,3,2,2,1,0,1,0,0,2,0,1
235,4620000,5680,3,1,2,1,1,0,0,1,1,0,1
236,4620000,2870,2,1,2,1,1,1,0,0,0,1,1
237,4620000,5010,3,1,2,1,0,1,0,0,0,0,1
238,4613000,4510,4,2,2,1,0,1,0,0,0,0,1
239,4585000,4000,3,1,2,1,0,0,0,0,1,0,0
240,4585000,3840,3,1,2,1,0,0,0,0,1,1,1
241,4550000,3760,3,1,1,1,0,0,0,0,2,0,1
242,4550000,3640,3,1,2,1,0,0,0,1,0,0,0
243,4550000,2550,3,1,2,1,0,1,0,0,0,0,0
244,4550000,5320,3,1,2,1,1,1,0,0,0,1,1
245,4550000,5360,3,1,2,1,0,0,0,0,2,1,2
246,4550000,3520,3,1,1,1,0,0,0,0,0,1,1
247,4550000,8400,4,1,4,1,0,0,0,0,3,0,2
248,4543000,4100,2,2,1,1,1,1,0,0,0,0,1
249,4543000,4990,4,2,2,1,1,1,0,0,0,1,0
250,4515000,3510,3,1,3,1,0,0,0,0,0,0,1
251,4515000,3450,3,1,2,1,0,1,0,0,1,0,1
252,4515000,9860,3,1,1,1,0,0,0,0,0,0,1
253,4515000,3520,2,1,2,1,0,0,0,0,0,1,0
254,4480000,4510,4,1,2,1,0,0,0,1,2,0,1
255,4480000,5885,2,1,1,1,0,0,0,1,1,0,2
256,4480000,4000,3,1,2,1,0,0,0,0,2,0,0
257,4480000,8250,3,1,1,1,0,0,0,0,0,0,0
258,4480000,4040,3,1,2,1,0,0,0,0,1,0,1
259,4473000,6360,2,1,1,1,0,1,0,1,1,0,0
260,4473000,3162,3,1,2,1,0,0,0,1,1,0,0
261,4473000,3510,3,1,2,1,0,0,0,0,0,0,1
262,4445000,3750,2,1,1,1,1,1,0,0,0,0,1
263,4410000,3968,3,1,2,0,0,0,0,0,0,0,1
264,4410000,4900,2,1,2,1,0,1,0,0,0,0,1
265,4403000,2880,3,1,2,1,0,0,0,0,0,1,1
266,4403000,4880,3,1,1,1,0,0,0,0,2,1,2
267,4403000,4920,3,1,2,1,0,0,0,0,1,0,1
268,4382000,4950,4,1,2,1,0,0,0,1,0,0,1
269,4375000,3900,3,1,2,1,0,0,0,0,0,0,2
270,4340000,4500,3,2,3,1,0,0,1,0,1,0,0
